Cost		Observability	Redundancy	Layout
(0, 0, 0)	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
(1, 2, 0)	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
(1, 2, 0)	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
(2, 4, 0)	[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]
(2, 4, 0)	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
(2, 4, 0)	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
(2, 4, 0)	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]
(2, 4, 0)	[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]
(2, 4, 0)	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]
(2, 4, 0)	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]
(2, 4, 0)	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]
(2, 4, 0)	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
(2, 4, 0)	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
(2, 4, 0)	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]
(2, 4, 0)	[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
(2, 4, 0)	[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
(2, 4, 0)	[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]
(2, 4, 0)	[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
(2, 2, 2)	[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]
(3, 6, 0)	[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]
(3, 6, 0)	[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]
(3, 6, 0)	[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]
(3, 6, 0)	[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]
(3, 6, 0)	[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]
(3, 6, 0)	[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]
(3, 6, 0)	[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]
(3, 6, 0)	[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]
(3, 6, 0)	[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]
(3, 6, 0)	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
(3, 6, 0)	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
(3, 6, 0)	[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]
(3, 6, 0)	[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]
(3, 6, 0)	[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]
(3, 6, 0)	[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]
(3, 6, 0)	[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
(3, 6, 0)	[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]
(3, 6, 0)	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
(3, 6, 0)	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]
(3, 6, 0)	[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]
(3, 6, 0)	[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]
(3, 6, 0)	[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]
(3, 6, 0)	[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]
(3, 6, 0)	[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]
(3, 6, 0)	[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]
(3, 6, 0)	[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]
(3, 6, 0)	[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]
(3, 6, 0)	[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]
(3, 6, 0)	[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]
(3, 6, 0)	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
(3, 6, 0)	[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]
(3, 6, 0)	[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]
