Cost		Observability	Redundancy	Layout
(4, 6, 3)	[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]
(5, 8, 3)	[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]
(5, 8, 3)	[0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]
(5, 8, 3)	[0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]
(5, 8, 3)	[0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]
(5, 6, 5)	[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]
(6, 11, 3)	[0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0]
(6, 11, 3)	[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]
(6, 11, 3)	[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0]
(6, 11, 3)	[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]
(6, 11, 3)	[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]
(6, 11, 3)	[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]
(6, 11, 3)	[1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]
(6, 11, 3)	[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]
(6, 8, 5)	[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]
(6, 8, 5)	[0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1]
(6, 8, 5)	[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]
(6, 8, 5)	[0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1]
(6, 8, 5)	[0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1]
(6, 8, 5)	[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]
(6, 6, 6)	[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1]
(7, 11, 6)	[1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0]
(7, 11, 6)	[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]
(7, 11, 6)	[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0]
(7, 11, 6)	[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]
(7, 8, 7)	[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1]
(7, 8, 7)	[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1]
(8, 11, 8)	[1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]
(8, 11, 8)	[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]
(8, 11, 8)	[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]
(8, 11, 8)	[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]
(9, 11, 9)	[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
(9, 11, 9)	[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]
(9, 11, 9)	[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]
(9, 11, 9)	[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]
(9, 11, 9)	[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]
(9, 11, 9)	[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]
(9, 11, 9)	[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]
(9, 11, 9)	[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]
(9, 11, 9)	[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]
(10, 11, 10)	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
(10, 11, 10)	[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
(10, 11, 10)	[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
(10, 11, 10)	[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
(10, 11, 10)	[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]
(10, 11, 10)	[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]
(11, 11, 11)	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
