From date,To date,AIT_400_001A_P.PV,FIT_400_001A_P.PV,FIT_400_002A_P.PV,P_400_002A_P.RPM_MV,PIT_400_003A_P.PV,P_400_001A_P.RPM_MV,PDIT_400_002A_P.PV
11/1/23 0:00,11/1/23 0:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 0:15,11/1/23 0:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 0:30,11/1/23 0:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 0:45,11/1/23 1:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 1:00,11/1/23 1:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 1:15,11/1/23 1:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 1:30,11/1/23 1:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 1:45,11/1/23 2:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 2:00,11/1/23 2:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 2:15,11/1/23 2:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 2:30,11/1/23 2:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 2:45,11/1/23 3:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 3:00,11/1/23 3:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 3:15,11/1/23 3:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 3:30,11/1/23 3:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 3:45,11/1/23 4:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 4:00,11/1/23 4:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 4:15,11/1/23 4:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 4:30,11/1/23 4:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 4:45,11/1/23 5:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 5:00,11/1/23 5:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 5:15,11/1/23 5:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 5:30,11/1/23 5:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 5:45,11/1/23 6:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 6:00,11/1/23 6:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 6:15,11/1/23 6:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 6:30,11/1/23 6:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 6:45,11/1/23 7:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 7:00,11/1/23 7:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 7:15,11/1/23 7:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 7:30,11/1/23 7:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 7:45,11/1/23 8:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 8:00,11/1/23 8:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 8:15,11/1/23 8:30,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 8:30,11/1/23 8:45,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 8:45,11/1/23 9:00,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 9:00,11/1/23 9:15,566.54,809.91,702.04,48.07,930,34.56,48.87
11/1/23 9:15,11/1/23 9:30,566.54,809.91,702.04,48.07,930,34.56,48.87
