From date,To date,AIT_400_001A_P.PV,FIT_400_001A_P.PV,FIT_400_002A_P.PV,P_400_002A_P.RPM_MV,PIT_400_003A_P.PV,P_400_001A_P.RPM_MV,PDIT_400_002A_P.PV
12/1/23 0:00,12/1/23 0:15,519.79,796.39,700.16,48.76,930,34.83,50.68
12/1/23 0:15,12/1/23 0:30,522.31,788.08,699.64,48.82,930,34.82,50.66
12/1/23 0:30,12/1/23 0:45,519.68,794.32,700.34,48.78,930,34.83,50.68
12/1/23 0:45,12/1/23 1:00,518.83,795.39,699.8,48.75,930,34.84,50.7
12/1/23 1:00,12/1/23 1:15,518.19,798.05,700.15,48.76,930,34.83,50.7
12/1/23 1:15,12/1/23 1:30,518.98,795.33,699.61,48.8,930,34.84,50.7
12/1/23 1:30,12/1/23 1:45,520.23,788.22,700.12,48.86,930,34.83,50.68
12/1/23 1:45,12/1/23 2:00,517.72,792.9,700.26,48.8,930,34.84,50.72
12/1/23 2:00,12/1/23 2:15,516.07,795.06,699.89,48.76,930,34.85,50.73
12/1/23 2:15,12/1/23 2:30,516.35,795.84,700.31,48.79,930,34.84,50.74
12/1/23 2:30,12/1/23 2:45,516.94,795.69,699.91,48.77,930,34.84,50.73
12/1/23 2:45,12/1/23 3:00,516.38,795.55,699.82,48.79,930,34.84,50.73
12/1/23 3:00,12/1/23 3:15,516.16,798.23,700.03,48.77,930,34.83,50.73
12/1/23 3:15,12/1/23 3:30,515.69,796.55,700.05,48.79,930,34.83,50.74
12/1/23 3:30,12/1/23 3:45,515.76,794.52,700.18,48.79,930,34.83,50.72
12/1/23 3:45,12/1/23 4:00,515.36,797.04,699.91,48.79,930,34.83,50.73
12/1/23 4:00,12/1/23 4:15,515.07,798.39,699.99,48.8,930,34.83,50.73
12/1/23 4:15,12/1/23 4:30,514.95,794.29,700.18,48.77,930,34.83,50.71
12/1/23 4:30,12/1/23 4:45,514.59,794.8,700.01,48.77,930,34.84,50.7
12/1/23 4:45,12/1/23 5:00,514.63,797.69,700,48.8,930,34.83,50.72
12/1/23 5:00,12/1/23 5:15,514.46,794.3,699.57,48.78,930,34.83,50.72
12/1/23 5:15,12/1/23 5:30,514.06,794.98,700.09,48.81,930,34.83,50.72
12/1/23 5:30,12/1/23 5:45,516.49,789.36,700.09,48.85,930,34.82,50.72
12/1/23 5:45,12/1/23 6:00,513.06,795.79,700.29,48.79,930,34.83,50.75
12/1/23 6:00,12/1/23 6:15,513.17,797.01,700.11,48.8,930,34.83,50.74
12/1/23 6:15,12/1/23 6:30,513.26,795.01,699.82,48.82,930,34.84,50.75
12/1/23 6:30,12/1/23 6:45,512.81,796.79,700.21,48.81,930,34.85,50.76
12/1/23 6:45,12/1/23 7:00,512.6,795.3,700.07,48.82,930,34.84,50.75
12/1/23 7:00,12/1/23 7:15,512.44,795.82,699.94,48.83,930,34.84,50.76
12/1/23 7:15,12/1/23 7:30,511.97,795.79,700.35,48.83,930,34.84,50.75
12/1/23 7:30,12/1/23 7:45,511.14,795.73,700.15,48.82,930,34.84,50.74
12/1/23 7:45,12/1/23 8:00,511.16,795.27,699.9,48.84,930,34.85,50.75
12/1/23 8:00,12/1/23 8:15,511.19,793.83,700.03,48.83,930,34.82,50.75
12/1/23 8:15,12/1/23 8:30,511.38,795.21,699.89,48.84,930,34.84,50.75
12/1/23 8:30,12/1/23 8:45,511.14,791.84,700.17,48.84,930,34.82,50.72
12/1/23 8:45,12/1/23 9:00,511.52,792.74,699.88,48.82,930,34.84,50.73
12/1/23 9:00,12/1/23 9:15,511.78,795.99,700.07,48.81,930,34.82,50.71
12/1/23 9:15,12/1/23 9:30,512.47,795.35,699.98,48.83,930,34.82,50.69
12/1/23 9:30,12/1/23 9:45,517.85,821.63,462.5,31.78,930,34.61,48.84
12/1/23 9:45,12/1/23 10:00,48.02,381.11,0.95,0,0,15.79,19.8
12/1/23 10:00,12/1/23 10:15,0,0.45,0.31,0,0,0,0.08
12/1/23 10:15,12/1/23 10:30,0,0.45,0.26,0,0,0,0.08
12/1/23 10:30,12/1/23 10:45,0,0.43,0.3,0,0,0,0.08
12/1/23 10:45,12/1/23 11:00,0,27.31,0.34,0,0,0,0.08
12/1/23 11:00,12/1/23 11:15,0,399.8,0.36,0,0,5.99,7.55
12/1/23 11:15,12/1/23 11:30,0,808.08,0.35,0,930,33.87,42.22
12/1/23 11:30,12/1/23 11:45,0,795.97,6.67,5.34,930,33.97,43.06
12/1/23 11:45,12/1/23 12:00,520.94,801.03,697.4,48.27,930,34.69,50.26
12/1/23 12:00,12/1/23 12:15,540.35,804.38,699.53,48.35,930,34.7,50.27
12/1/23 12:15,12/1/23 12:30,537.62,803.41,699.79,48.38,930,34.73,50.29
12/1/23 12:30,12/1/23 12:45,534.78,804.71,700.17,48.38,930,34.75,50.34
12/1/23 12:45,12/1/23 13:00,533.09,808.28,700.01,48.37,930,34.77,50.38
12/1/23 13:00,12/1/23 13:15,530.93,806.87,699.98,48.36,930,34.75,50.39
12/1/23 13:15,12/1/23 13:30,532.11,805.31,699.81,48.41,930,34.78,50.41
12/1/23 13:30,12/1/23 13:45,532.92,797.88,699.88,48.45,930,34.78,50.41
12/1/23 13:45,12/1/23 14:00,529.35,805.42,700.31,48.43,930,34.78,50.44
12/1/23 14:00,12/1/23 14:15,525.2,808.2,699.75,48.36,930,34.79,50.46
12/1/23 14:15,12/1/23 14:30,527.27,802.84,699.8,48.44,930,34.78,50.45
12/1/23 14:30,12/1/23 14:45,528.08,803.18,700.27,48.46,930,34.78,50.45
12/1/23 14:45,12/1/23 15:00,527.03,803.5,700,48.45,930,34.79,50.45
12/1/23 15:00,12/1/23 15:15,525.42,808.16,699.99,48.43,930,34.8,50.47
12/1/23 15:15,12/1/23 15:30,523.29,810.55,699.88,48.41,930,34.81,50.48
12/1/23 15:30,12/1/23 15:45,526.65,799.97,699.68,48.47,930,34.79,50.46
12/1/23 15:45,12/1/23 16:00,525.07,806.88,700.24,48.46,930,34.79,50.48
12/1/23 16:00,12/1/23 16:15,524.96,805.87,699.98,48.44,930,34.79,50.47
12/1/23 16:15,12/1/23 16:30,523.65,808.36,700.16,48.4,930,34.8,50.48
12/1/23 16:30,12/1/23 16:45,523.69,809.06,700.19,48.42,930,34.81,50.49
12/1/23 16:45,12/1/23 17:00,524.15,801.33,699.82,48.44,930,34.8,50.5
12/1/23 17:00,12/1/23 17:15,525.32,802.68,700.19,48.48,930,34.81,50.5
12/1/23 17:15,12/1/23 17:30,524.56,805.52,700.16,48.45,930,34.8,50.52
12/1/23 17:30,12/1/23 17:45,521.76,808.5,700.04,48.41,930,34.81,50.54
12/1/23 17:45,12/1/23 18:00,522.44,805.31,699.65,48.45,930,34.82,50.55
12/1/23 18:00,12/1/23 18:15,523.75,800.97,699.95,48.49,930,34.8,50.54
12/1/23 18:15,12/1/23 18:30,521.61,803.96,700.09,48.45,930,34.82,50.54
12/1/23 18:30,12/1/23 18:45,520.36,809.36,700.15,48.42,930,34.82,50.56
12/1/23 18:45,12/1/23 19:00,521.03,807.37,699.97,48.42,930,34.8,50.53
12/1/23 19:00,12/1/23 19:15,523.58,798.7,699.7,48.5,930,34.81,50.55
12/1/23 19:15,12/1/23 19:30,522.28,803.25,700.1,48.48,930,34.8,50.54
12/1/23 19:30,12/1/23 19:45,519.76,808.55,700.08,48.41,930,34.81,50.57
12/1/23 19:45,12/1/23 20:00,519.15,807.78,699.64,48.43,930,34.82,50.56
12/1/23 20:00,12/1/23 20:15,519.67,808.03,700.28,48.47,930,34.82,50.57
12/1/23 20:15,12/1/23 20:30,519.83,804.35,699.93,48.47,930,34.82,50.57
12/1/23 20:30,12/1/23 20:45,521.07,799.35,700.22,48.52,930,34.82,50.56
12/1/23 20:45,12/1/23 21:00,518.64,808.57,700.05,48.44,930,34.83,50.59
12/1/23 21:00,12/1/23 21:15,517.72,807.68,700.04,48.45,930,34.81,50.59
